origem;cnpj;cnae_id;regiao;estado;media_consumo;total_consumo;mediana;desvio_pd;variancia;media_score;total_score;30/09/2021 00:00;31/10/2021 00:00;30/11/2021 00:00;31/12/2021 00:00;31/01/2022 00:00;28/02/2022 00:00
1;11924000193.0;1.0;4;0;947.0;5684.0;622.0;1016.0;1032685.0;136.0;378.0;1244;1923;2517;0;0;0
0;136575000136.0;1.0;4;0;735.0;4414.0;668.0;621.0;386232.0;47.0;234.0;33;822;123;1873;514;1049
1;186050000105.0;3.0;4;0;899.0;5398.0;194.5;1191.0;1419762.0;146.0;375.0;389;1922;3087;0;0;0
0;203611000137.0;6.0;4;0;2163.0;15143.0;2623.0;935.0;874922.0;449.0;936.0;214;2581;2657;2806;2931;2623
1;212501000131.0;46.0;4;0;659.0;3957.0;309.5;820.0;673080.0;22.0;191.0;1080;2258;619;0;0;0
0;237301000133.0;48.0;4;0;1943.0;11660.0;2011.0;640.0;409867.0;246.0;684.0;1886;1260;2892;2440;1046;2136
0;295445000146.0;48.0;4;0;826.0;5787.0;222.0;1120.0;1255448.0;19.0;230.0;3138;1818;609;0;0;0
0;296021000104.0;51.0;4;0;1595.0;9573.0;1862.0;588.0;346521.0;47.0;454.0;1940;2034;1554;1857;321;1867
1;312811000128.0;53.0;4;0;930.0;5583.0;569.0;999.0;999182.0;43.0;281.0;2312;1138;2133;0;0;0
0;318118000162.0;53.0;4;0;1259.0;7559.0;1216.0;493.0;243276.0;45.0;366.0;777;1642;701;1537;895;2007
1;360305335980.0;56.0;4;0;1013.0;6081.0;122.5;1366.0;1866450.0;134.0;393.0;2549;3287;245;0;0;0
0;369225000110.0;63.0;4;0;953.0;5719.0;545.5;1049.0;1100445.0;120.0;363.0;208;898;772;319;3228;294
1;434356000133.0;63.0;1;1;850.0;5104.0;546.5;945.0;894075.0;86.0;275.0;1522;1093;2489;0;0;0
0;436163000111.0;63.0;1;1;2106.0;12641.0;2145.5;1057.0;1118935.0;173.0;640.0;3350;533;3331;1794;2497;1136
1;436767000168.0;63.0;1;1;1365.0;8190.0;1164.5;1417.0;2008519.0;169.0;472.0;2329;3492;2369;0;0;0
0;467376000100.0;65.0;1;1;1677.0;10064.0;1787.0;1059.0;1121716.0;157.0;529.0;2361;3084;1213;2591;474;341
1;500737000173.0;65.0;1;1;811.0;4870.0;59.0;1197.0;1432816.0;110.0;290.0;118;1587;3165;0;0;0
0;515747000263.0;66.0;1;1;1911.0;11471.0;1631.0;839.0;704654.0;183.0;608.0;1884;1303;3029;861;3016;1378
1;517299000156.0;66.0;1;1;528.0;3168.0;247.0;681.0;464908.0;9.0;127.0;770;494;1904;0;0;0
0;520765000152.0;71.0;1;1;2057.0;12347.0;2630.5;1170.0;1369427.0;248.0;680.0;2641;25;3253;2892;2620;916
1;522359000129.0;79.0;1;1;1553.0;9323.0;1460.5;1561.0;2439096.0;164.0;509.0;3420;2982;2921;0;0;0
0;532901000124.0;85.0;1;1;1919.0;11515.0;1938.0;786.0;618713.0;117.0;543.0;2279;1918;664;1443;1958;3253
1;536974000194.0;107.0;1;1;1026.0;6161.0;694.5;1102.0;1214755.0;91.0;319.0;1999;2773;1389;0;0;0
0;553033000169.0;111.0;1;1;2435.0;14611.0;2128.5;738.0;545609.0;135.0;676.0;3453;2103;3397;1444;2154;2060
1;562370000112.0;112.0;1;1;1155.0;6934.0;805.0;1298.0;1686508.0;111.0;367.0;1610;1835;3489;0;0;0
0;567427000176.0;113.0;1;1;1892.0;11355.0;1518.0;767.0;589504.0;186.0;606.0;1430;3052;2844;1390;1606;1033
1;573070000210.0;113.0;1;1;391.0;2348.0;164.5;465.0;216819.0;6.0;93.0;818;1201;329;0;0;0
0;573734000160.0;142.0;1;1;1531.0;9190.0;1398.5;781.0;610279.0;100.0;440.0;2139;2863;1343;495;896;1454
1;574066000195.0;155.0;1;1;1280.0;7680.0;901.0;1354.0;1834313.0;86.0;370.0;3335;2543;1802;0;0;0
0;609806000181.0;156.0;1;1;2024.0;12146.0;1752.5;1028.0;1057840.0;206.0;655.0;680;2009;1223;3337;3401;1496
1;617395000176.0;156.0;1;1;934.0;5605.0;510.5;1148.0;1319766.0;9.0;217.0;3188;1396;1021;0;0;0
0;621361000155.0;157.0;1;1;3019.0;18119.0;3192.5;562.0;315882.0;367.0;1000.0;2975;3451;3066;3319;1833;3475
1;628107005067.0;157.0;1;1;1083.0;6502.0;34.0;1512.0;2287053.0;180.0;421.0;68;3398;3036;0;0;0
0;643390000118.0;157.0;1;1;2338.0;14032.0;2612.0;1011.0;1022384.0;173.0;692.0;3261;3014;3386;2210;1604;557
1;671903000102.0;157.0;1;1;1374.0;8248.0;1284.5;1378.0;1898940.0;155.0;460.0;2897;2569;2782;0;0;0
0;703945000170.0;157.0;1;1;1133.0;6803.0;986.0;682.0;465442.0;69.0;321.0;1161;378;1098;874;2548;744
1;721620000110.0;158.0;1;1;853.0;5118.0;404.0;1156.0;1337693.0;11.0;200.0;3262;1048;808;0;0;0
0;726826000132.0;159.0;1;1;2064.0;12384.0;1596.5;892.0;795690.0;112.0;571.0;3495;1664;1247;1341;3108;1529
1;812358000119.0;159.0;1;1;538.0;3230.0;120.5;916.0;839981.0;-7.0;112.0;2556;433;241;0;0;0
0;849566000192.0;159.0;1;1;2151.0;12910.0;2423.5;1117.0;1248945.0;195.0;672.0;3134;1418;3302;209;3034;1813
1;866396000154.0;159.0;1;1;607.0;3644.0;81.5;1004.0;1008318.0;87.0;222.0;697;163;2784;0;0;0
0;921898000130.0;159.0;1;1;1737.0;10426.0;1838.5;903.0;815420.0;114.0;500.0;2348;1325;1942;1735;84;2992
1;924787000188.0;160.0;1;1;731.0;4387.0;85.5;1108.0;1228738.0;10.0;172.0;3020;171;1196;0;0;0
0;931663000120.0;160.0;1;1;1877.0;11262.0;1683.0;1004.0;1009451.0;103.0;520.0;2982;1301;413;3262;1239;2065
1;931891000108.0;160.0;1;1;890.0;5341.0;316.0;1066.0;1136834.0;1.0;199.0;2565;2144;632;0;0;0
0;939640000161.0;160.0;1;1;2461.0;14767.0;2604.5;936.0;876799.0;286.0;833.0;1773;1878;3359;3388;1038;3331
1;945958000589.0;160.0;1;1;799.0;4799.0;273.0;1002.0;1005866.0;101.0;279.0;546;1611;2642;0;0;0
0;957325000167.0;160.0;1;1;2167.0;13003.0;2294.0;1030.0;1061607.0;269.0;724.0;1593;3450;1079;2995;3044;842
1;958357000187.0;160.0;1;1;697.0;4182.0;241.5;909.0;826641.0;86.0;241.0;483;2482;1217;0;0;0
0;965905000104.0;160.0;1;1;1722.0;10334.0;1906.0;458.0;210531.0;39.0;421.0;2185;1368;2094;1905;1907;875
1;982813000124.0;160.0;1;1;927.0;5562.0;279.5;1131.0;1280104.0;157.0;362.0;559;2569;2434;0;0;0
0;992662000195.0;160.0;1;1;1743.0;10462.0;1143.5;1211.0;1468094.0;86.0;473.0;3442;836;745;599;1451;3389
1;1007756000125.0;160.0;1;1;1242.0;7457.0;368.5;1521.0;2315258.0;73.0;349.0;3496;3224;737;0;0;0
